player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Ron Anderson,1985,1994,,6-7,215,"October 15, 1958",Fresno State,Career,,,NBA,664,79,22.8,4.4,9.4,.471,0.2,0.6,.287,4.3,8.8,.482,.479,1.6,2.0,.814,1.3,2.2,3.5,1.4,0.7,0.1,1.1,1.5,10.6
Ryan Anderson,2009,2020,,6-9,240,"May 6, 1988",California,Career,,,NBA,649,289,25.8,4.2,10.1,.422,2.0,5.4,.380,2.2,4.7,.470,.523,1.8,2.1,.854,1.9,3.3,5.3,0.9,0.5,0.3,0.9,1.9,12.3
Shandon Anderson,1997,2006,,6-6,208,"December 31, 1973",Georgia,Career,,,NBA,719,226,22.2,2.8,6.1,.457,0.4,1.4,.316,2.3,4.7,.498,.492,1.4,1.9,.739,0.8,2.3,3.1,1.4,0.8,0.3,1.3,2.0,7.4
Willie Anderson,1989,1997,,6-7,190,"January 8, 1967",Georgia,Career,,,NBA,555,432,28.8,5.1,10.7,.471,0.2,0.7,.266,4.9,10.1,.485,.479,1.9,2.4,.786,1.0,2.8,3.8,3.8,1.1,0.6,2.1,2.7,12.2
Wally Anderzunas,1970,1970,,6-7,220,"January 11, 1946",Creighton,Career,,,NBA,44,,8.4,1.5,3.8,.392,,,,,,,,0.7,1.0,.630,,,1.9,0.2,,,,1.1,3.6
Martynas Andriuškevičius,2006,2006,,7-2,240,"March 12, 1986",,Career,,,NBA,6,0,1.5,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.2,0.5,0.7,0.0,0.3,0.0,0.0,0.2,0.0
Don Anielak,1955,1955,,6-7,190,"November 1, 1930",Missouri State University,Career,,,NBA,1,,10.0,0.0,4.0,.000,,,,,,,,3.0,4.0,.750,,,2.0,0.0,,,,0.0,3.0
Ike Anigbogu,2018,2019,,6-10,250,"October 17, 1998",UCLA,Career,,,NBA,14,0,2.6,0.3,0.9,.333,0.0,0.0,,0.3,0.9,.333,.333,0.4,0.4,.833,0.4,0.4,0.9,0.1,0.1,0.3,0.2,0.1,0.9
Michael Ansley,1990,1992,,6-7,225,"February 8, 1967",Alabama,Career,,,NBA,149,6,14.4,2.6,5.0,.513,0.0,0.0,,2.6,5.0,.513,.513,1.7,2.4,.722,2.1,2.1,4.2,0.4,0.3,0.2,0.6,1.9,6.9
Chris Anstey,1998,2000,,7-0,249,"January 1, 1975",,Career,,,NBA,155,23,13.9,2.0,4.7,.413,0.0,0.2,.138,1.9,4.5,.424,.416,1.3,1.7,.755,1.1,2.3,3.4,0.8,0.5,0.4,0.9,2.4,5.2
Giannis Antetokounmpo,2014,2021,,6-11,242,"December 6, 1994",,Career,,,NBA,589,524,32.5,7.6,14.4,.532,0.6,2.2,.287,7.0,12.1,.577,.554,5.0,7.0,.717,1.7,7.4,9.1,4.5,1.2,1.3,2.8,3.0,20.9
Kostas Antetokounmpo,2019,2021,,6-10,200,"November 20, 1997",Dayton,Career,,,NBA,22,0,4.0,0.3,0.7,.375,0.0,0.0,,0.3,0.7,.375,.375,0.4,0.9,.474,0.3,0.8,1.0,0.1,0.2,0.2,0.6,0.5,1.0
Thanasis Antetokounmpo,2016,2021,,6-6,219,"July 18, 1992",,Career,,,NBA,79,5,8.7,1.2,2.4,.497,0.1,0.5,.175,1.1,1.9,.584,.516,0.4,0.8,.485,0.8,1.1,1.9,0.8,0.4,0.2,0.7,1.2,2.9
Carmelo Anthony,2004,2021,,6-7,238,"May 29, 1984",Syracuse,Career,,,NBA,1191,1117,35.0,8.2,18.4,.447,1.3,3.8,.353,6.9,14.6,.471,.483,5.2,6.4,.814,1.6,4.7,6.3,2.8,1.0,0.5,2.5,2.8,23.0
Cole Anthony,2021,2021,,6-2,185,"May 15, 2000",UNC,Career,,,NBA,47,34,27.1,4.7,11.7,.397,1.2,3.7,.337,3.4,8.1,.424,.449,2.3,2.8,.832,0.8,3.9,4.7,4.1,0.6,0.4,2.3,2.1,12.9
Greg Anthony,1992,2002,,6-0,176,"November 15, 1967","University of Portland, UNLV",Career,,,NBA,757,227,20.9,2.5,6.3,.403,0.8,2.3,.349,1.7,4.0,.434,.467,1.4,1.9,.733,0.4,1.5,1.9,4.0,1.2,0.1,1.4,1.7,7.3
Joel Anthony,2008,2017,,6-9,245,"August 9, 1982",UNLV,Career,,,NBA,490,110,14.4,0.8,1.6,.513,0.0,0.0,,0.8,1.6,.513,.513,0.5,0.8,.662,1.1,1.6,2.8,0.2,0.3,1.1,0.5,1.7,2.2
Pero Antić,2014,2015,,6-11,260,"July 29, 1982",,Career,,,NBA,113,29,17.4,2.0,5.2,.392,1.0,3.0,.314,1.1,2.2,.500,.483,1.2,1.7,.730,1.0,2.5,3.5,0.9,0.3,0.2,0.9,2.3,6.3
OG Anunoby,2018,2021,,6-7,232,"July 17, 1997",Indiana,Career,,,NBA,253,179,25.0,3.5,7.3,.480,1.3,3.5,.375,2.2,3.7,.579,.571,0.9,1.3,.692,0.9,2.9,3.9,1.2,1.0,0.4,1.0,2.2,9.2
Keith Appling,2016,2016,,6-1,185,"February 13, 1992",Michigan State,Career,,,NBA,5,0,5.4,0.4,1.6,.250,0.0,0.6,.000,0.4,1.0,.400,.250,0.4,0.4,1.000,0.0,0.2,0.2,0.2,0.2,0.0,0.6,1.0,1.2
Rafael Araújo,2005,2007,,6-11,280,"August 12, 1980",BYU,Career,,,NBA,139,75,11.4,1.1,2.8,.405,0.0,0.0,.250,1.1,2.7,.407,.406,0.5,0.8,.679,0.9,1.9,2.8,0.3,0.4,0.1,0.8,2.2,2.8
Stacey Arceneaux,1962,1962,,6-4,210,"February 17, 1936",Iowa State,Career,,,NBA,7,,15.7,3.1,8.0,.393,,,,,,,,0.9,1.9,.462,,,4.6,0.6,,,,1.4,7.1
Robert Archibald,2003,2004,,6-11,250,"March 29, 1980",Illinois,Career,,,NBA,44,3,7.5,0.3,1.2,.283,0.0,0.0,,0.3,1.2,.283,.283,0.5,1.1,.429,0.6,1.0,1.6,0.4,0.3,0.1,0.4,1.3,1.2
Tiny Archibald*,1971,1984,,6-1,150,"September 2, 1948",Texas-El Paso,Career,,,NBA,876,268,35.6,6.7,14.4,.467,0.1,0.3,.224,6.7,14.3,.469,.468,5.3,6.6,.810,0.5,1.6,2.3,7.4,1.1,0.1,2.7,2.3,18.8
Ryan Arcidiacono,2018,2021,,6-3,195,"March 26, 1994",Villanova,Career,,,NBA,207,36,17.6,1.7,3.8,.431,0.8,2.2,.373,0.8,1.7,.507,.537,0.6,0.8,.807,0.3,1.8,2.0,2.2,0.6,0.0,0.6,1.6,4.8
Jim Ard,1971,1978,,6-8,215,"September 19, 1948",Cincinnati,Career,,,TOT,431,,13.4,1.7,4.3,.402,0.0,0.1,.235,1.7,4.3,.404,.403,0.9,1.4,.662,1.3,2.9,4.3,0.6,0.2,0.5,1.3,1.7,4.4
Gilbert Arenas,2002,2012,,6-3,191,"January 6, 1982",Arizona,Career,,,NBA,552,455,35.1,6.7,16.0,.421,2.0,5.6,.351,4.8,10.5,.458,.482,5.2,6.5,.803,0.8,3.1,3.9,5.3,1.6,0.2,3.2,3.0,20.7
Trevor Ariza,2005,2021,,6-8,215,"June 30, 1985",UCLA,Career,,,NBA,1094,758,29.7,3.7,8.9,.423,1.4,4.1,.352,2.3,4.8,.484,.504,1.6,2.1,.732,1.0,3.8,4.8,2.1,1.5,0.3,1.3,2.0,10.5
Paul Arizin*,1951,1962,,6-4,190,"April 9, 1928",Villanova,Career,,,NBA,713,,38.4,7.9,18.7,.421,,,,,,,,7.0,8.7,.810,,,8.6,2.3,,,,3.9,22.8
Joe Arlauckas,1988,1988,,6-9,230,"July 20, 1965",Niagara University,Career,,,NBA,9,0,9.4,1.6,4.8,.326,0.0,0.0,,1.6,4.8,.326,.326,0.7,0.9,.750,0.7,0.8,1.4,0.9,0.3,0.4,0.4,1.8,3.8
