player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Adam Keefe,1993,2001,,6-9,230,"February 22, 1970",Stanford,Career,,,NBA,617,98,16.7,1.8,3.6,.502,0.0,0.0,.071,1.8,3.6,.505,.502,1.4,2.0,.714,1.6,2.5,4.1,0.7,0.5,0.3,0.9,1.8,5.0
Harold Keeling,1986,1986,,6-4,185,"September 18, 1963",Santa Clara,Career,,,NBA,20,0,3.8,0.9,2.0,.436,0.0,0.0,,0.9,2.0,.436,.436,0.5,0.7,.714,0.2,0.2,0.3,0.5,0.4,0.0,0.4,0.5,2.2
Bill Keller,1970,1976,,5-10,177,"August 30, 1947",Purdue,Career,,,ABA,556,,24.5,4.4,10.3,.425,0.9,2.7,.338,3.5,7.6,.456,.469,2.2,2.5,.872,0.9,1.5,2.4,3.6,0.7,0.0,1.7,1.6,11.8
Gary Keller,1968,1969,,6-9,220,"June 13, 1944",Florida,Career,,,ABA,122,,14.0,2.1,5.5,.388,0.0,0.0,.000,2.1,5.5,.391,.388,1.7,2.7,.632,1.4,1.8,4.5,0.4,,,1.0,2.2,6.0
Ken Keller,1947,1947,,6-1,180,"August 16, 1922",St. John's,Career,,,BAA,28,,,0.4,1.1,.333,,,,,,,,0.1,0.2,.400,,,,0.0,,,,0.5,0.8
Rich Kelley,1976,1986,,7-0,235,"March 23, 1953",Stanford,Career,,,NBA,814,126,21.8,2.7,5.4,.488,0.0,0.0,.000,2.7,5.4,.489,.488,2.3,2.9,.783,2.3,4.7,7.0,2.6,0.9,0.9,2.4,3.2,7.6
Clark Kellogg,1983,1987,,6-7,225,"July 2, 1961",Ohio State,Career,,,NBA,260,241,32.7,7.7,15.5,.497,0.1,0.3,.338,7.6,15.3,.500,.500,3.4,4.5,.757,3.3,6.3,9.5,2.9,1.5,0.4,2.8,3.3,18.9
Arvesta Kelly,1968,1972,,6-2,175,"November 20, 1945",Lincoln University of Missouri,Career,,,ABA,188,,20.7,3.2,7.1,.445,0.3,1.1,.253,2.9,6.1,.479,.464,1.4,2.2,.637,1.1,1.6,2.6,1.8,,,1.8,2.3,8.0
Jerry Kelly,1947,1948,,6-2,172,"June 14, 1918",Marshall,Career,,,BAA,46,,,2.0,7.0,.291,,,,,,,,1.6,2.4,.661,,,,0.5,,,,2.8,5.7
Ryan Kelly,2014,2017,,6-11,230,"April 9, 1991",Duke,Career,,,NBA,163,59,19.2,2.0,5.3,.378,0.6,2.0,.316,1.4,3.3,.416,.438,1.4,1.8,.797,0.5,2.6,3.1,1.3,0.5,0.5,0.7,1.9,6.0
