player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Phil Martin,1955,1955,,6-3,190,"April 2, 1928",Toledo,Career,,,NBA,7,,6.7,0.7,2.7,.263,,,,,,,,0.3,0.3,1.000,,,1.4,0.9,,,,1.0,1.7
Slater Martin*,1950,1960,,5-10,170,"October 22, 1925",Texas,Career,,,NBA,745,,35.9,3.5,9.7,.364,,,,,,,,2.8,3.7,.762,,,3.4,4.2,,,,3.0,9.8
Whitey Martin,1962,1962,,6-2,185,"April 11, 1939",St. Bonaventure,Career,,,NBA,66,,15.4,1.4,4.4,.325,,,,,,,,0.6,0.8,.673,,,2.4,1.7,,,,2.4,3.4
Jamal Mashburn,1994,2004,,6-8,240,"November 29, 1972",Kentucky,Career,,,NBA,611,584,37.3,7.0,16.7,.418,1.3,3.6,.345,5.7,13.1,.439,.456,3.8,5.0,.766,1.1,4.2,5.4,4.0,1.0,0.2,2.6,2.5,19.1
Al Masino,1953,1954,,5-10,174,"February 5, 1928",Canisius,Career,,,NBA,99,,19.7,1.6,4.7,.346,,,,,,,,1.6,2.6,.625,,,2.1,1.8,,,,3.0,4.8
Anthony Mason,1990,2003,,6-7,250,"December 14, 1966",Tennessee State,Career,,,NBA,882,559,34.7,4.1,8.0,.509,0.0,0.0,.167,4.1,8.0,.510,.510,2.8,4.0,.709,2.2,6.1,8.3,3.4,0.7,0.3,1.8,2.7,10.9
Desmond Mason,2001,2010,,6-7,224,"October 11, 1977",Oklahoma State,Career,,,NBA,643,385,30.5,4.6,10.2,.449,0.1,0.4,.260,4.5,9.8,.456,.454,2.9,3.9,.740,1.3,3.2,4.5,1.6,0.7,0.4,1.6,2.2,12.1
Frank Mason,2018,2021,,5-11,190,"April 3, 1994",Kansas,Career,,,NBA,103,3,15.7,2.4,6.1,.396,0.5,1.7,.301,1.9,4.3,.433,.438,1.4,1.9,.755,0.4,1.6,2.0,2.6,0.5,0.1,1.1,1.2,6.7
Roger Mason,2003,2014,,6-5,200,"September 10, 1980",Virginia,Career,,,NBA,518,103,17.7,2.3,5.7,.408,1.1,3.0,.383,1.2,2.7,.435,.509,0.6,0.7,.866,0.2,1.6,1.7,1.3,0.4,0.1,0.7,1.4,6.3
Tony Massenburg,1991,2005,,6-9,220,"July 31, 1967",Maryland,Career,,,NBA,683,233,18.0,2.4,5.1,.470,0.0,0.0,.091,2.4,5.1,.471,.470,1.4,2.0,.705,1.5,2.8,4.3,0.4,0.4,0.5,1.0,2.4,6.2
Eddie Mast,1971,1973,,6-9,220,"October 3, 1948",Temple,Career,,,NBA,112,,7.9,1.0,2.6,.385,,,,,,,,0.5,0.8,.604,,,2.4,0.5,,,,1.0,2.5
Yante Maten,2019,2019,,6-8,240,"August 14, 1996",Georgia,Career,,,NBA,2,0,6.5,0.5,2.0,.250,0.0,0.5,.000,0.5,1.5,.333,.250,0.0,0.0,,0.5,1.0,1.5,0.0,0.5,0.0,0.0,0.0,1.0
Garrison Mathews,2020,2021,,6-5,215,"October 24, 1996",Lipscomb,Career,,,NBA,82,24,15.4,1.5,3.6,.413,1.2,3.0,.389,0.3,0.6,.531,.575,1.4,1.6,.891,0.3,1.1,1.4,0.4,0.5,0.1,0.2,1.7,5.5
Mangok Mathiang,2018,2018,,6-10,230,"October 8, 1992",Louisville,Career,,,NBA,4,0,5.0,1.0,1.8,.571,0.0,0.0,,1.0,1.8,.571,.571,0.0,0.3,.000,0.8,1.8,2.5,0.0,0.3,0.0,0.0,1.3,2.0
Dakota Mathias,2021,2021,,6-4,200,"July 11, 1995",Purdue,Career,,,NBA,8,2,15.4,2.4,6.0,.396,1.0,3.3,.308,1.4,2.8,.500,.479,0.3,0.8,.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6.0
Johnny Mathis,1968,1968,,6-6,220,"July 14, 1943",Savannah State University,Career,,,ABA,51,,12.9,1.4,3.6,.371,0.0,0.0,.000,1.4,3.6,.375,.371,0.7,1.1,.636,,,3.8,0.5,,,0.8,2.0,3.4
Wes Matthews,1981,1990,,6-1,170,"August 24, 1959",Wisconsin,Career,,,NBA,465,102,20.0,3.1,6.6,.478,0.1,0.3,.225,3.1,6.2,.492,.484,1.5,1.9,.788,0.4,1.0,1.3,4.2,1.0,0.2,2.1,2.1,7.9
Wesley Matthews,2010,2021,,6-4,220,"October 14, 1986",Marquette,Career,,,NBA,849,739,31.0,4.3,10.2,.421,2.0,5.4,.379,2.3,4.8,.469,.521,2.0,2.4,.824,0.5,2.4,2.9,2.1,1.0,0.2,1.2,2.1,12.6
Ariel Maughan,1947,1951,,6-4,190,"February 23, 1923",Utah State University,Career,,,TOT,259,,,2.9,10.3,.280,,,,,,,,2.1,3.0,.712,,,4.0,1.2,,,,2.6,7.9
Marlon Maxey,1993,1994,,6-8,250,"February 19, 1969","Minnesota, Texas-El Paso",Career,,,NBA,98,5,11.7,1.9,3.4,.542,0.0,0.0,.000,1.9,3.4,.547,.542,1.2,1.7,.685,1.4,2.3,3.7,0.2,0.3,0.5,0.8,1.9,4.9
Tyrese Maxey,2021,2021,,6-2,200,"November 4, 2000",Kentucky,Career,,,NBA,61,8,15.3,3.2,7.0,.462,0.5,1.7,.301,2.7,5.3,.512,.498,1.0,1.1,.871,0.2,1.5,1.7,2.0,0.4,0.2,0.7,1.3,8.0
Jason Maxiell,2006,2015,,6-7,260,"February 18, 1983",Cincinnati,Career,,,NBA,618,188,18.4,2.3,4.6,.495,0.0,0.0,.000,2.3,4.6,.496,.495,1.1,2.0,.564,1.7,2.5,4.2,0.4,0.4,0.8,0.8,1.9,5.6
Cedric Maxwell,1978,1988,,6-8,205,"November 21, 1955",UNC Charlotte,Career,,,NBA,835,537,28.5,4.1,7.5,.546,0.0,0.0,.053,4.1,7.5,.547,.546,4.3,5.5,.784,2.5,3.8,6.3,2.2,0.8,0.5,2.2,2.7,12.5
