player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,pf_per_g,pts_per_g,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,orb_per_g,drb_per_g,stl_per_g,blk_per_g,tov_per_g
Danny Green,2010,2021,,6-6,215,"June 22, 1987",UNC,Career,,,NBA,757,681,25.6,3.2,7.5,.422,0.7,0.9,.805,3.5,1.6,1.8,9.0,1.9,4.8,.401,1.2,2.7,.461,.551,0.6,2.9,1.0,0.8,1.0
Devin Green,2006,2006,,6-7,210,"October 25, 1982",Hampton,Career,,,NBA,27,0,5.0,0.2,1.0,.214,0.5,0.8,.619,0.9,0.3,0.5,0.9,0.0,0.1,.000,0.2,1.0,.231,.214,0.4,0.5,0.1,0.0,0.2
Draymond Green,2013,2021,,6-6,230,"March 4, 1990",Michigan State,Career,,,NBA,639,491,28.5,3.2,7.3,.436,1.5,2.1,.715,6.9,5.3,2.8,8.8,0.9,2.8,.316,2.3,4.6,.509,.496,1.1,5.8,1.4,1.0,2.2
Erick Green,2015,2016,,6-4,185,"May 9, 1991",Virginia Tech,Career,,,NBA,52,1,8.7,1.3,3.4,.377,0.2,0.3,.857,0.7,0.8,0.6,3.1,0.3,1.0,.288,1.0,2.4,.415,.420,0.2,0.5,0.3,0.0,0.3
Gerald Green,2006,2019,,6-6,205,"January 26, 1986",,Career,,,NBA,658,118,19.8,3.5,8.4,.417,1.3,1.5,.818,2.5,0.9,1.9,9.7,1.5,4.1,.361,2.1,4.4,.469,.504,0.5,2.0,0.5,0.3,1.1
JaMychal Green,2015,2021,,6-8,227,"June 21, 1990",Alabama,Career,,,NBA,420,157,21.6,3.1,6.5,.470,1.2,1.5,.772,6.0,0.9,2.7,8.1,0.8,2.2,.380,2.2,4.3,.517,.535,1.8,4.2,0.5,0.4,1.1
Javonte Green,2020,2021,,6-4,205,"July 23, 1993",Radford,Career,,,NBA,89,4,10.6,1.3,2.6,.509,0.7,0.9,.707,1.8,0.5,1.0,3.5,0.2,0.7,.302,1.1,1.9,.588,.550,0.6,1.3,0.6,0.2,0.5
Jeff Green,2008,2021,,6-8,235,"August 28, 1986",Georgetown,Career,,,NBA,976,583,29.3,4.6,10.5,.444,2.5,3.1,.804,4.4,1.6,2.2,12.8,1.1,3.1,.340,3.6,7.3,.489,.495,0.9,3.5,0.7,0.5,1.4
Johnny Green,1960,1973,,6-5,200,"December 8, 1933",Michigan State,Career,,,NBA,1057,,23.3,4.7,9.5,.493,2.2,4.0,.553,8.6,1.4,2.7,11.6,,,,,,,,,,,,
Josh Green,2021,2021,,6-5,200,"November 16, 2000",Arizona,Career,,,NBA,39,5,11.4,1.1,2.4,.452,0.3,0.6,.565,2.0,0.7,0.9,2.6,0.1,0.6,.160,1.0,1.7,.559,.473,0.7,1.3,0.4,0.1,0.4
Ken Green,1986,1986,,6-8,215,"September 19, 1959",University of Texas-Pan American,Career,,,NBA,7,0,10.3,1.9,3.9,.481,0.7,1.3,.556,3.9,0.3,1.1,4.4,0.0,0.0,,1.9,3.9,.481,.481,1.7,2.1,0.6,0.0,0.1
Kenny Green,1986,1987,,6-6,210,"October 11, 1964",Wake Forest,Career,,,NBA,60,0,10.4,1.8,4.4,.412,0.8,1.1,.721,1.7,0.3,1.0,4.4,0.0,0.0,.000,1.8,4.4,.414,.412,0.6,1.1,0.2,0.2,0.8
Lamar Green,1970,1975,,6-7,210,"March 22, 1947",Morehead State University,Career,,,TOT,411,,17.8,2.2,5.1,.430,0.8,1.3,.660,6.2,0.8,2.5,5.2,0.0,0.0,,2.2,5.1,.430,.430,1.4,3.7,0.4,0.5,1.2
Litterial Green,1993,1999,,6-1,185,"March 7, 1970",Georgia,Career,,,NBA,148,4,8.0,1.0,2.3,.420,0.9,1.4,.665,0.5,1.2,0.8,2.9,0.0,0.2,.077,1.0,2.1,.448,.423,0.2,0.3,0.3,0.0,0.5
Luther Green,1970,1973,,6-7,190,"November 13, 1946",Long Island University,Career,,,TOT,90,,10.4,1.7,4.5,.383,0.8,1.7,.507,3.6,0.3,1.5,4.3,0.0,0.1,.000,1.7,4.4,.390,.383,1.4,2.4,,,0.9
Mike Green,1974,1980,,6-10,200,"August 6, 1951",Louisiana Tech,Career,,,TOT,459,,24.7,4.7,9.9,.480,2.1,2.8,.732,6.9,1.3,2.9,11.5,0.0,0.1,.083,4.7,9.9,.481,.480,2.6,4.3,0.7,1.6,1.8
Rickey Green,1978,1992,,6-0,170,"August 18, 1954",Michigan,Career,,,NBA,946,513,24.6,3.8,8.1,.469,1.7,2.2,.807,1.9,5.5,1.5,9.4,0.0,0.2,.207,3.8,7.9,.475,.471,0.5,1.4,1.4,0.1,1.7
Sean Green,1992,1994,,6-5,210,"February 2, 1970","NC State, Iona College",Career,,,NBA,84,0,8.0,1.8,4.7,.386,0.4,0.6,.620,1.0,0.5,0.8,4.2,0.2,0.7,.246,1.6,4.0,.412,.405,0.4,0.6,0.4,0.2,0.8
Si Green,1957,1966,,6-2,185,"August 20, 1933",Duquesne,Career,,,NBA,504,,26.1,3.4,8.9,.387,2.3,3.4,.676,4.3,3.3,2.8,9.2,,,,,,,,,,,,
