player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Joby Wright,1973,1976,,6-8,220,"September 5, 1950",Indiana,Career,,,TOT,103,,12.3,1.8,3.9,.467,0.0,0.0,,1.8,3.9,.467,.467,0.6,1.3,.465,1.5,1.3,2.8,0.4,0.2,0.2,1.1,2.2,4.2
Julian Wright,2008,2011,,6-8,225,"May 20, 1987",Kansas,Career,,,NBA,231,40,13.2,1.7,3.4,.499,0.1,0.3,.262,1.6,3.2,.519,.509,0.4,0.7,.584,0.8,1.5,2.3,0.8,0.6,0.3,0.7,0.8,3.9
Larry Wright,1977,1982,,6-1,160,"November 23, 1954",Grambling State University,Career,,,NBA,343,0,19.9,3.5,7.5,.465,0.0,0.2,.261,3.5,7.4,.467,.466,1.3,1.6,.777,0.5,1.1,1.6,3.4,0.8,0.2,1.6,2.3,8.2
Leroy Wright,1968,1969,,6-9,215,"May 6, 1938",University of the Pacific,Career,,,ABA,27,,15.8,1.0,2.7,.384,0.0,0.0,,1.0,2.7,.384,.384,0.3,1.0,.333,1.2,1.8,5.1,0.6,,,0.8,2.4,2.4
Lonnie Wright,1968,1972,,6-2,205,"January 23, 1945",Colorado State,Career,,,ABA,335,,26.0,4.3,10.6,.407,0.3,1.3,.255,4.0,9.3,.428,.423,1.8,2.5,.721,0.7,2.1,2.7,1.9,,,1.4,2.9,10.7
Lorenzen Wright,1997,2009,,6-11,225,"November 4, 1975",Memphis,Career,,,NBA,778,447,23.8,3.3,7.2,.459,0.0,0.0,.069,3.3,7.1,.461,.459,1.4,2.1,.645,2.2,4.2,6.4,0.8,0.6,0.7,1.1,2.9,8.0
Luther Wright,1994,1994,,7-2,270,"September 22, 1971",Seton Hall,Career,,,NBA,15,2,6.1,0.5,1.5,.348,0.0,0.1,.000,0.5,1.5,.364,.348,0.2,0.3,.750,0.4,0.3,0.7,0.0,0.1,0.1,0.4,1.4,1.3
Sharone Wright,1995,1998,,6-11,260,"January 30, 1973",Clemson,Career,,,NBA,203,115,22.3,3.8,8.4,.456,0.0,0.1,.083,3.8,8.3,.458,.456,2.1,3.3,.618,2.1,3.0,5.0,0.6,0.4,1.0,1.7,2.8,9.7
Justin Wright-Foreman,2020,2020,,6-0,190,"October 27, 1997",Hofstra,Career,,,NBA,4,0,11.3,1.8,5.0,.350,0.5,2.5,.200,1.3,2.5,.500,.400,0.8,1.0,.750,0.0,1.3,1.3,1.8,0.5,0.0,0.8,1.3,4.8
Tony Wroten,2013,2016,,6-6,205,"April 13, 1993",Washington,Career,,,NBA,145,34,21.2,4.0,9.6,.413,0.6,2.5,.231,3.4,7.1,.477,.443,2.6,3.9,.647,0.7,1.8,2.5,3.0,0.9,0.2,2.6,1.8,11.1
Dennis Wuycik,1973,1975,,6-6,215,"March 29, 1950",UNC,Career,,,ABA,157,,10.7,1.7,3.8,.460,0.0,0.0,.143,1.7,3.7,.464,.461,0.9,1.3,.672,0.9,1.2,2.1,0.8,0.3,0.1,1.2,1.9,4.4
A.J. Wynder,1991,1991,,6-2,180,"September 11, 1964","UMass, Fairfield",Career,,,NBA,6,0,6.5,0.5,2.0,.250,0.0,0.2,.000,0.5,1.8,.273,.250,1.0,1.3,.750,0.2,0.3,0.5,1.3,0.2,0.0,0.7,0.2,2.0
