Player,MP,FG_x,FGA_x,FG_Percentage_x,3P_x,3PA_x,3P_Percentage_x,FT_x,FTA_x,FT_Percentage_x,ORB_x,DRB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PlusMinus_x,Starter,TS_Percentage,eFG_Percentage,3PAr,FTr,ORB_Percentage,DRB_Percentage,TRB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage,TOV_Percentage,USG_Percentage,ORtg,DRtg,BPM,FG_y,FGA_y,FG_Percentage_y,3P_y,3PA_y,3P_Percentage_y,FT_y,FTA_y,FT_Percentage_y,ORB_y,DRB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PlusMinus_y,GameID,DateTime,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlusMinus
Jordan Clarkson,13.666666666666666,,,,,,,,,,,,,,,,,,,,Reserve,0.5,0.5,0.8,0.0,0.0,10.3,5.1,0.0,0.0,0.0,0.0,18.1,98.0,126.0,-9.6,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,-3.0
Rodney Hood,11.916666666666666,,,,,,,,,,,,,,,,,,,,Reserve,0.0,0.0,0.0,0.0,11.5,35.5,23.4,24.2,0.0,0.0,33.3,12.4,80.0,123.0,-7.8,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
Larry Nance,2.5666666666666664,,,,,,,,,,,,,,,,,,,,Reserve,,,,,0.0,55.0,27.1,0.0,0.0,0.0,,0.0,0.0,121.0,-3.1,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedi Osman,2.5666666666666664,,,,,,,,,,,,,,,,,,,,Reserve,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,127.0,-6.6,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeMar DeRozan,35.1,,,,,,,,,,,,,,,,,,,,Starter,0.503,0.478,0.217,0.087,0.0,0.0,0.0,14.2,0.0,0.0,4.0,35.1,101.0,144.0,-10.2,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,11.0,23.0,0.478,0.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,24.0,-22.0
Kyle Lowry,33.78333333333333,,,,,,,,,,,,,,,,,,,,Starter,0.861,0.85,0.6,0.5,0.0,16.2,8.2,33.4,0.0,0.0,24.7,23.8,136.0,142.0,4.5,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,7.0,10.0,0.7,3.0,6.0,0.5,4.0,5.0,0.8,0.0,4.0,4.0,8.0,0.0,0.0,4.0,5.0,21.0,-18.0
Jonas Valančiūnas,26.85,,,,,,,,,,,,,,,,,,,,Starter,0.727,0.727,0.091,0.0,10.5,51.1,31.1,12.0,0.0,3.1,8.3,22.2,138.0,136.0,6.1,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,8.0,11.0,0.727,0.0,1.0,0.0,0.0,0.0,,2.0,10.0,12.0,2.0,0.0,1.0,1.0,2.0,16.0,-11.0
OG Anunoby,23.15,,,,,,,,,,,,,,,,,,,,Starter,0.5,0.5,0.6,0.0,0.0,0.0,0.0,5.2,2.3,0.0,16.7,12.8,87.0,139.0,-6.5,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,-10.0
Serge Ibaka,12.2,,,,,,,,,,,,,,,,,,,,Starter,0.17,0.0,0.2,0.4,34.7,33.7,34.2,8.9,0.0,0.0,14.5,28.0,73.0,141.0,-18.1,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,0.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,-10.0
Fred VanVleet,23.916666666666668,,,,,,,,,,,,,,,,,,,,Reserve,0.7,0.7,0.7,0.0,0.0,0.0,0.0,23.6,0.0,0.0,0.0,20.7,145.0,144.0,7.5,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,5.0,10.0,0.5,4.0,7.0,0.571,0.0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,2.0
Delon Wright,23.65,,,,,,,,,,,,,,,,,,,,Reserve,0.625,0.625,0.5,0.0,0.0,23.2,11.8,20.3,0.0,0.0,33.3,12.6,103.0,142.0,-3.7,,,,,,,,,,,,,,,,,,,,201805030TOR,2018-05-03 18:00:00,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,2.0,1.0,5.0,-5.0
